idx	char	level	meanings	on_yomi	fanout
1020	農	N2	Agriculture; Farmers	のう	
1021	震	N2	Quake; Shake; Tremble; Quiver	しん	
1022	濃	N2	Concentrated; Thick; Dark; Undiluted	のう	
1023	氏	N1	Family Name; Surname; Clan	し	5
1024	紙	N4	Paper	し	
1025	婚	N3	Marriage	こん	
1026	旅	N4	Trip; Travel	りょ	
1027	氐	COMP	Name Of An Ancient Tribe	てい/たい/し	2
1028	低	N2	Lower; Short; Humble	てい	
1029	底	N2	Bottom; Sole; Depth; Bottom Price	てい	
1030	朩	COMP	(bound component)		5
1031	殺	N3	Kill; Murder; Butcher; Slice Off	さつ/さい/せつ	
1032	雑	N3	Miscellaneous	ざつ/ぞう	
1033	茶	N4	Tea	ちゃ/さ	
1034	亲	COMP	(bound component)		2
1035	親	N4	Parent; Intimacy; Relative; Familiarity	しん	
1036	甲	N1	Armor; High (voice); A Grade; First Class	こう/かん	5
1037	単	N3	Simple; One; Single; Merely	たん	
1038	戦	N3	War; Battle; Match	せん	
1039	押	N3	Push; Stop; Check; Subdue	おう	
1040	㔾	COMP	(bound component)		3
1041	危	N3	Dangerous; Fear; Uneasy	き	
1042	飠	COMP	Eat; Food; Radical Number 184		3
1043	館	N4	Building; Mansion; Large Building; Palace	かん	
1044	飲	N4	Drink; Smoke; Take	いん/おん	
1045	飯	N4	Meal; Boiled Rice	はん	
1046	袁	COMP	Long Kimono	えん/おん	2
1047	園	N3	Park; Garden; Yard; Farm	えん	
1048	遠	N3	Distant; Far	えん/おん	
1049	卯	N1	Sign Of The Hare Or Rabbit; Fourth Sign Of Chinese Zodiac; 5-7am; East	ぼう/もう	2
1050	貿	N2	Trade; Exchange	ぼう	
1051	留	N3	Detain; Fasten; Halt; Stop	りゅう/る	
1052	匸	COMP	Hiding Enclosure Radical (no. 23)	けい	5
1053	亡	N3	Deceased; The Late; Dying; Perish	ぼう/もう	
1054	望	N3	Ambition; Full Moon; Hope; Desire	ぼう/もう	
1055	荒	N2	Laid Waste; Rough; Rude; Wild	こう	
1056	忘	N3	Forget	ぼう	
1057	忙	N3	Busy; Occupied; Restless	ぼう/もう	
1058	虍	COMP	Tiger Spots; Mottled; Tiger Or Tiger Crown Radical (no. 141)	こ	2
1059	劇	N2	Drama; Play	げき	
1060	膚	N2	Skin; Body; Grain; Texture	ふ	
1061	啇	COMP	The Stalk; The Stem; The Foot; The Base	てき/ちゃく/せき	2
1062	適	N3	Suitable; Occasional; Rare; Qualified	てき	
1063	滴	N2	Drip; Drop	てき	
1064	屮	COMP	Left Hand; Old Grass Radical (no. 45)	てつ/さ	3
1065	逆	N2	Inverted; Reverse; Opposite; Wicked	ぎゃく/げき	
1066	尺	N1	Shaku; Japanese Foot; Measure; Scale	しゃく	2
1067	駅	N4	Station	えき	
1068	昼	N4	Daytime; Noon	ちゅう	
1069	坴	COMP	Clod Of Earth; Land	りく/ろく	3
1070	陸	N2	Land; Six	りく/ろく	
1071	埶	COMP	Art	げい/せい	2
1072	勢	N2	Forces; Energy; Military Strength	せい/ぜい	
1073	熱	N3	Heat; Temperature; Fever; Mania	ねつ	
1074	奴	N1	Guy; Slave; Manservant; Fellow	ど	2
1075	努	N3	Toil; Diligent; As Much As Possible	ど	
1076	怒	N3	Angry; Be Offended	ど/ぬ	
1077	井	N1	Well; Well Crib; Town; Community	せい/しょう	5
1078	囲	N2	Surround; Besiege; Store; Paling	い	
1079	寒	N3	Cold	かん	
1080	冓	COMP	Put Together; Inner Palace	こう	2
1081	構	N3	Posture; Build; Pretend	こう	
1082	講	N2	Lecture; Club; Association	こう	
1083	氶	COMP	(bound component)	しょう	2
1084	承	N2	Acquiesce; Hear; Listen To; Be Informed	しょう/じょう	
1085	曾	COMP	Once; Before; Formerly; Ever	そう/そ/ぞう	3
1086	層	N2	Stratum; Social Class; Layer; Story	そう	
1087	贈	N2	Presents; Send; Give To; Award To	ぞう/そう	
1088	憎	N2	Hate; Detest	ぞう	
1089	亽	COMP	(bound component)		5
1090	令	N2	Orders; Ancient Laws; Command; Decree	れい	
1091	領	N2	Jurisdiction; Dominion; Territory; Fief	りょう	
1092	冷	N3	Cool; Cold (beer, Person); Chill	れい	
1093	齢	N2	Age	れい	
1094	零	N2	Zero; Spill; Overflow; Nothing	れい	
1095	旲	COMP	(bound component)	たい/えい	2
1096	募	N2	Recruit; Campaign; Gather (contributions); Enlist	ぼ	
1097	暮	N3	Evening; Twilight; Season's End; Livelihood	ぼ	
1098	㚘	COMP	(bound component)		2
1099	賛	N3	Approve; Praise; Title Or Inscription On Picture; Assist	さん	
1100	替	N2	Exchange; Spare; Substitute; Per-	たい	
1101	犭	COMP	Dog; Dog Radical (no. 94)		2
1102	犯	N3	Crime; Sin; Offense	はん/ぼん	
1103	猫	N3	Cat	びょう	
1104	户	COMP	(bound component)		5
1105	戻	N3	Re-; Return; Revert; Resume	れい	
1106	雇	N2	Employ; Hire	こ	
1107	肩	N2	Shoulder	けん	
1108	涙	N2	Tears; Sympathy	るい/れい	
1109	𠕁	COMP	(bound component)		3
1110	編	N2	Compilation; Knit; Plait; Braid	へん	
1111	侖	COMP	Think; Be Methodical	りん/ろん	2
1112	論	N3	Argument; Discourse	ろん	
1113	輪	N2	Wheel; Ring; Circle; Link	りん	
1114	耒	COMP	Come; Plough; Three-branch Tree Radical (no. 127)	らい/るい	2
1115	籍	N2	Enroll; Domiciliary Register; Membership	せき	
1116	耕	N2	Till; Plow; Cultivate	こう	
1117	翟	COMP	Surname; Kind Of Pheasant	けき/じゃく/たく	2
1118	曜	N4	Weekday	よう	
1119	濯	N2	Laundry; Wash; Pour On; Rinse	たく	
1120	尹	COMP	An Official Rank	いん	2
1121	君	N3	Mister; You; Ruler; Male Name Suffix	くん	
1122	群	N2	Flock; Group; Crowd; Herd	ぐん	
1123	圭	N1	Square Jewel; Corner; Angle; Edge	けい/け	2
1124	掛	N3	Hang; Suspend; Depend; Arrive At	かい/けい	
1125	封	N2	Seal; Closing	ふう/ほう	
1126	分	COMP	Part; Minute Of Time; Segment; Share	ぶん/ふん/ぶ	2
1127	貧	N3	Poverty; Poor	ひん/びん	
1128	粉	N2	Flour; Powder; Dust	ふん	
1129	司	N1	Director; Official; Govt Office; Rule	し	2
1130	詞	N2	Part Of Speech; Words; Poetry	し	
1131	伺	N2	Pay Respects; Visit; Ask; Inquire	し	
1132	𢆶	COMP	(bound component)		2
1133	幾	N3	How Many; How Much; How Far; How Long	き	
1134	機	N3	Loom; Mechanism; Machine; Airplane	き	
1135	𪜋	COMP	(bound component)		7
1136	礻	COMP	Cult; Showing Radical (no. 113)	し	7
1137	社	N4	Company; Firm; Office; Association	しゃ	
1138	神	N3	Gods; Mind; Soul	しん/じん	
1139	福	N3	Blessing; Fortune; Luck; Wealth	ふく	
1140	祝	N2	Celebrate; Congratulate	しゅく/しゅう	
1141	礼	N3	Salute; Bow; Ceremony; Thanks	れい/らい	
1142	祖	N3	Ancestor; Pioneer; Founder	そ	
1143	丅	COMP	Under; Underneath; Below; Down	か/げ	8
1144	斤	N1	Axe; 1.32 Lb; Catty; Counter For Loaves Of Bread	きん	8
1145	新	N4	New	しん	
1146	近	N4	Near; Early; Akin; Tantamount	きん/こん	
1147	所	N3	Place; Extent	しょ	
1148	断	N3	Severance; Decline; Refuse; Apologize	だん	
1149	質	N4	Substance; Quality; Matter; Temperament	しつ/しち/ち	
1150	折	N3	Fold; Break; Fracture; Bend	せつ/しゃく	
1151	祈	N2	Pray; Wish	き	
1152	爪	COMP	Claw; Nail; Talon	そう	6
1153	⺤	COMP	(bound component)		6
1154	受	N3	Accept; Undergo; Answer (phone); Take	じゅ	
1155	愛	N3	Love; Affection; Favourite	あい	
1156	采	N1	Dice; Form; Appearance; Take	さい	2
1157	採	N2	Pick; Take; Fetch; Take Up	さい	
1158	菜	N2	Vegetable; Side Dish; Greens	さい	
1159	孚	COMP	Sincere; Nourish; Encase	ふ	2
1160	浮	N3	Floating; Float; Rise To Surface	ふ	
1161	乳	N2	Milk; Breasts	にゅう	
1162	⺳	COMP	(bound component)		2
1163	罙	COMP	(bound component)		2
1164	深	N3	Deep; Heighten; Intensify; Strengthen	しん	
1165	探	N3	Grope; Search; Look For	たん	
1166	𠫔	COMP	(bound component)		4
1167	至	N1	Climax; Arrive; Proceed; Reach	し	4
1168	室	N4	Room; Apartment; Chamber; Greenhouse	しつ	
1169	屋	N4	Roof; House; Shop; Dealer	おく	
1170	到	N3	Arrival; Proceed; Reach; Attain	とう	
1171	倒	N3	Overthrow; Fall; Collapse; Drop	とう	
1172	𠃜	COMP	(bound component)		2
1173	巴	N1	Comma-design	は	2
1174	色	N4	Color	しょく/しき	
1175	絶	N3	Discontinue; Sever; Cut Off; Abstain	ぜつ	
1176	凡	N1	Commonplace; Ordinary; Mediocre	ぼん/はん	2
1177	巩	COMP	Bind; Firm; Secure; Strong	きょう	2
1178	築	N2	Fabricate; Build; Construct	ちく	
1179	恐	N3	Fear; Dread; Awe	きょう	
1180	𡳾	COMP	(bound component)		2
1181	屯	N1	Barracks; Police Station; Camp; Ton	とん	2
1182	純	N2	Genuine; Purity; Innocence; Net (profit)	じゅん	
1183	鈍	N2	Dull; Slow; Foolish; Blunt	どん	
1184	句	N1	Phrase; Clause; Sentence; Passage	く	2
1185	苟	COMP	Any; At All; In The Least	こう/く	2
1186	敬	N2	Awe; Respect; Honor; Revere	けい/きょう	
1187	警	N3	Admonish; Commandment	けい	
1188	禸	COMP	Rump; Footprint Radical (no. 114)	じゅう/にゅ	2
1189	禺	COMP	Long-tailed Monkey	ぐ/ぐう	2
1190	隅	N2	Corner; Nook	ぐう	
1191	偶	N3	Accidentally; Even Number; Couple; Man & Wife	ぐう	
