idx	char	level	meanings	on_yomi	fanout
178	事	N4	Matter; Thing; Fact; Business	じ/ず	
179	妻	N3	Wife; Spouse	さい	
180	儿	COMP	Legs Radical (no. 10)	じん/にん	38
181	見	N5	See; Hopes; Chances; Idea	けん	
182	四	N5	Four	し	
183	現	N3	Present; Existing; Actual	げん	
184	元	N4	Beginning; Former Time; Origin	げん/がん	
185	規	N3	Standard; Measure	き	
186	児	N2	Newborn Babe; Child; Young Of Animals	じ/に/げい	
187	兄	N4	Elder Brother; Big Brother	けい/きょう	
188	龶	COMP	(bound component)		17
189	生	N5	Life; Genuine; Birth	せい/しょう	
190	青	N4	Blue; Green	せい/しょう	
191	責	N3	Blame; Condemn; Censure	せき	
192	星	N2	Star; Spot; Dot; Mark	せい/しょう	
193	晴	N3	Clear Up	せい	
194	毒	N2	Poison; Virus; Venom; Germ	どく	
195	姓	N2	Surname	せい/しょう	
196	辶	COMP	Walk; Walking; Road Radical Variant (no. 162)	ちゃく	29
197	連	N3	Take Along; Lead; Join; Connect	れん	
198	過	N3	Overdo; Exceed; Go Beyond; Error	か	
199	造	N2	Create; Make; Structure; Physique	ぞう	
200	週	N4	Week	しゅう	
201	速	N3	Quick; Fast	そく	
202	迎	N3	Welcome; Meet; Greet	げい	
203	途	N3	Route; Way; Road	と	
204	⺊	COMP	(bound component)		27
205	上	N5	Above; Up	じょう/しょう/しゃん	
206	占	N2	Fortune-telling; Divining; Forecasting; Occupy	せん	
207	⺹	COMP	(bound component)		9
208	者	N4	Someone; Person	しゃ	
209	龸	COMP	(bound component)		4
210	党	N2	Party; Faction; Clique	とう	
211	賞	N2	Prize; Reward; Praise	しょう	
212	堂	N4	Public Chamber; Hall	どう	
213	也	N1	To Be (classical)	や/え	3
214	地	N4	Ground; Earth	ち/じ	
215	亼	COMP	To Assemble. To Gather Together	しゅう/じゅう	11
216	合	N3	Fit; Suit; Join; 0.1	ごう/がっ/かっ	
217	⺆	COMP	(bound component)		59
218	内	N3	Inside; Within; Between; Among	ない/だい	
219	田	N4	Rice Field; Rice Paddy	でん	
220	用	N4	Utilize; Business; Service; Use	よう	
221	思	N4	Think	し	
222	男	N5	Male	だん/なん	
223	両	N3	Both; Old Japanese Coin; Counter For Carriages (e.g., In A Train); Two	りょう	
224	果	N3	Fruit; Reward; Carry Out; Achieve	か	
225	央	N2	Center; Middle	おう	
226	映	N4	Reflect; Reflection; Projection	えい	
227	肉	N4	Meat	にく	
228	胃	N2	Stomach; Paunch; Crop; Craw	い	
229	𠮛	COMP	(bound component)		7
230	同	N4	Same; Agree; Equal	どう	
231	銅	N2	Copper	どう	
232	亠	COMP	Kettle Lid Radical (no. 8)	とう	77
233	方	N4	Direction; Person; Alternative	ほう	
234	京	N4	Capital; 10**16	きょう/けい/きん	
235	言	N4	Say; Word	げん/ごん	
236	調	N3	Tune; Tone; Meter; Key (music)	ちょう	
237	六	N5	Six	ろく/りく	
238	認	N3	Acknowledge; Witness; Discern; Recognize	にん	
239	計	N4	Plot; Plan; Scheme; Measure	けい	
240	談	N3	Discuss; Talk	だん	
241	語	N5	Word; Speech; Language	ご	
242	訪	N3	Call On; Visit; Look Up; Offer Sympathy	ほう	
243	景	N3	Scenery; View	けい	
244	課	N2	Chapter; Lesson; Section; Department	か	
245	諸	N2	Various; Many; Several; Together	しょ	
246	許	N3	Permit; Approve	きょ	
247	卒	N2	Graduate; Soldier; Private; Die	そつ/しゅつ	
248	訓	N2	Instruction; Japanese Character Reading; Explanation; Read	くん/きん	
249	誤	N3	Mistake; Err; Do Wrong; Mislead	ご	
250	羊	N1	Sheep	よう	9
251	議	N3	Deliberation; Consultation; Debate; Consideration	ぎ	
252	着	N4	Don; Arrive; Wear; Counter For Suits Of Clothing	ちゃく/じゃく	
253	美	N3	Beauty; Beautiful	び/み	
254	様	N3	Esq.; Way; Manner; Situation	よう/しょう	
255	達	N3	Accomplished; Reach; Arrive; Attain	たつ/だ	
256	巾	COMP	Towel; Hanging Scroll; Width; Cloth Radical (no. 50)	きん/ふく	18
257	市	N3	Market; City; Town	し	
258	常	N3	Usual; Ordinary; Normal; Common	じょう	
259	姉	N4	Elder Sister	し	
260	帽	N2	Cap; Headgear	ぼう/もう	
261	扌	COMP	Hand; Hand Radical (no. 64)	しゅ	28
262	手	N4	Hand	しゅ/ず	
263	損	N2	Damage; Loss; Disadvantage; Hurt	そん	
264	抱	N3	Embrace; Hug; Hold In Arms	ほう	
265	捨	N2	Discard; Throw Away; Abandon; Resign	しゃ	
266	拾	N2	Pick Up; Gather; Find; Go On Foot	しゅう/じゅう	
267	丷	COMP	(bound component)		64
268	米	N3	Rice; Usa; Metre	べい/まい/めえとる	
269	来	N5	Come; Due; Next; Cause	らい/たい	
270	平	N3	Even; Flat; Peace	へい/びょう/ひょう	
271	半	N5	Half; Middle; Odd Number; Semi-	はん	
272	増	N3	Increase; Add; Augment; Gain	ぞう	
273	番	N3	Turn; Number In A Series	ばん	
274	精	N3	Refined; Ghost; Fairy; Energy	せい/しょう	
275	迷	N3	Astray; Be Perplexed; In Doubt; Lost	めい	
276	弟	N4	Younger Brother; Faithful Service To Elders	てい/だい/で	
277	挟	N2	Pinch; Between	きょう/しょう	
278	䒑	COMP	Grass; Straw; Herbs; Weeds		31
279	立	N4	Stand Up; Rise; Set Up; Erect	りつ/りゅう/りっとる	
280	首	N3	Neck; Counter For Songs And Poems	しゅ	
281	道	N4	Road-way; Street; District; Journey	どう/とう	
282	商	N3	Make A Deal; Selling; Dealing In; Merchant	しょう	
283	音	N4	Sound; Noise	おん/いん/-のん	
284	意	N4	Idea; Mind; Heart; Taste	い	
285	境	N2	Boundary; Border; Region	きょう/けい	
286	接	N2	Touch; Contact; Adjoin; Piece Together	せつ/しょう	
287	競	N2	Emulate; Compete With; Bid; Sell At Auction	きょう/けい	
288	章	N2	Badge; Chapter; Composition; Poem	しょう	
289	暗	N3	Darkness; Disappear; Shade; Informal	あん	
290	翌	N2	The Following; Next	よく	
291	辛	N2	Spicy; Bitter; Hot; Acrid	しん	
292	粒	N2	Grains; Drop; Counter For Tiny Particles	りゅう	
293	业	COMP	(bound component)		2
294	業	N4	Business; Vocation; Arts; Performance	ぎょう/ごう	
295	冋	COMP	Desert; Border Prairie; The 1st Form Is Radical 13	きょう/けい	2
296	高	N5	Tall; High; Expensive	こう	
297	丄	COMP	Above	じょう/しょう	33
298	円	N5	Circle; Yen; Round	えん	
299	工	N4	Craft; Construction; Katakana E Radical (no. 48)	こう/く/ぐ	
300	止	N4	Stop; Halt	し	
301	正	N4	Correct; Justice; Righteous; 10**40	せい/しょう	
302	差	N3	Distinction; Difference; Variation; Discrepancy	さ	
303	歩	N4	Walk; Counter For Steps	ほ/ぶ/ふ	
304	肯	N2	Agreement; Consent; Comply With	こう	
305	⺙	COMP	(bound component)		10
306	政	N3	Politics; Government	せい/しょう	
307	数	N3	Number; Strength; Fate; Law	すう/す/さく	
308	教	N4	Teach; Faith; Doctrine	きょう	
309	放	N3	Set Free; Release; Fire; Shoot	ほう	
310	敗	N3	Failure; Defeat; Reversal	はい	
311	枚	N2	Sheet Of...; Counter For Flat Thin Objects Or Sheets	まい/ばい	
312	关	COMP	Frontier Pass; Close; Relation		3
313	関	N3	Connection; Barrier; Gateway; Involve	かん	
314	送	N4	Escort; Send	そう	
315	咲	N2	Blossom; Bloom	しょう	
316	𧘇	COMP	(bound component)		3
317	表	N3	Surface; Table; Chart; Diagram	ひょう	
318	卜	COMP	Divining; Fortune-telling; Divination Or Katakana To Radical (no. 25)	ぼく	13
319	外	N5	Outside	がい/げ	
320	下	N5	Below; Down; Descend; Give	か/げ	
321	里	COMP	Ri; Village; Parent's Home; League	り	11
322	理	N4	Logic; Arrangement; Reason; Justice	り	
323	重	N4	Heavy; Important; Esteem; Respect	じゅう/ちょう	
